"gene","end","sample","condition","count","percent"
"mitoAla-TGC-1","CC","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_2_R1.fq.gz.unpaired_uniq.bam","X4",25,13.81
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_1_R1.fq.gz.unpaired_uniq.bam","Ctrl",8,3.59
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_2_R1.fq.gz.unpaired_uniq.bam","Ctrl",12,2.63
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_1_R1.fq.gz.unpaired_uniq.bam","X1",0,0
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_2_R1.fq.gz.unpaired_uniq.bam","X1",5,4.2
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_1_R1.fq.gz.unpaired_uniq.bam","X2",11,8.4
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_2_R1.fq.gz.unpaired_uniq.bam","X2",0,0
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_1_R1.fq.gz.unpaired_uniq.bam","X4",1,5.88
"mitoArg-TCG-1","Absent","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_2_R1.fq.gz.unpaired_uniq.bam","X4",2,50
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_1_R1.fq.gz.unpaired_uniq.bam","Ctrl",8,3.59
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_2_R1.fq.gz.unpaired_uniq.bam","Ctrl",4,0.88
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_1_R1.fq.gz.unpaired_uniq.bam","X1",3,13.04
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_2_R1.fq.gz.unpaired_uniq.bam","X1",7,5.88
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_1_R1.fq.gz.unpaired_uniq.bam","X2",5,3.82
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_2_R1.fq.gz.unpaired_uniq.bam","X2",0,0
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_1_R1.fq.gz.unpaired_uniq.bam","X4",0,0
"mitoArg-TCG-1","C","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_2_R1.fq.gz.unpaired_uniq.bam","X4",0,0
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_1_R1.fq.gz.unpaired_uniq.bam","Ctrl",181,81.17
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_2_R1.fq.gz.unpaired_uniq.bam","Ctrl",394,86.4
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_1_R1.fq.gz.unpaired_uniq.bam","X1",19,82.61
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X1_2_R1.fq.gz.unpaired_uniq.bam","X1",90,75.63
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_1_R1.fq.gz.unpaired_uniq.bam","X2",100,76.34
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X2_2_R1.fq.gz.unpaired_uniq.bam","X2",5,100
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_1_R1.fq.gz.unpaired_uniq.bam","X4",14,82.35
"mitoArg-TCG-1","CA","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_X4_2_R1.fq.gz.unpaired_uniq.bam","X4",2,50
"mitoArg-TCG-1","CC","/gpfs2/shankj/CodonUsage2/Ensembl/0Lib/01tRNA_seq/skj/clean_Ctrl_1_R1.fq.gz.unpaired_uniq.bam","Ctrl",26,11.66
