"","sample_id","lipo","cell_seeded","time","variable","E590","time_str","sample_id_modified","vector","condition","E590_Ctrl","E590_over_Ctrl"
"85","S1",TRUE,TRUE,72,"E590_zeroed_5",483987,"72 h","XS1","XS1 (0.588)","X1",604199.2,0.801038796476394
"86","S2",TRUE,TRUE,72,"E590_zeroed_5",437233,"72 h","XS2","XS2 (0.705)","X2",604199.2,0.723657032316494
"87","S3",TRUE,TRUE,72,"E590_zeroed_5",441251,"72 h","XS3","XS3 (0.774)","X3",604199.2,0.730307156977368
"88","S4",TRUE,TRUE,72,"E590_zeroed_5",424755,"72 h","XS4","XS4 (0.861)","X4",604199.2,0.70300490301874
"89","S5",TRUE,TRUE,72,"E590_zeroed_5",397461,"72 h","XS5","XS5 (1.000)","X5",604199.2,0.657831059690248
"90","Mock",TRUE,TRUE,72,"E590_zeroed_5",631670,"72 h","Mock","Mock","Ctrl",604199.2,1.04546646205424
"91","S1",TRUE,TRUE,96,"E590_zeroed_1",523932.8,"96 h","XS1","XS1 (0.588)","X1",589783.2,0.888348125209399
"92","S2",TRUE,TRUE,96,"E590_zeroed_1",495383.8,"96 h","XS2","XS2 (0.705)","X2",589783.2,0.839942202490678
"93","S3",TRUE,TRUE,96,"E590_zeroed_1",511470.8,"96 h","XS3","XS3 (0.774)","X3",589783.2,0.867218327005584
"94","S4",TRUE,TRUE,96,"E590_zeroed_1",477796.8,"96 h","XS4","XS4 (0.861)","X4",589783.2,0.810122770536699
"95","S5",TRUE,TRUE,96,"E590_zeroed_1",409838.8,"96 h","XS5","XS5 (1.000)","X5",589783.2,0.694897379240372
"96","Mock",TRUE,TRUE,96,"E590_zeroed_1",605237.8,"96 h","Mock","Mock","Ctrl",589783.2,1.02620386609859
"97","S1",TRUE,TRUE,96,"E590_zeroed_2",544046.8,"96 h","XS1","XS1 (0.588)","X1",589783.2,0.922452182429069
"98","S2",TRUE,TRUE,96,"E590_zeroed_2",496131.8,"96 h","XS2","XS2 (0.705)","X2",589783.2,0.841210465133629
"99","S3",TRUE,TRUE,96,"E590_zeroed_2",482338.8,"96 h","XS3","XS3 (0.774)","X3",589783.2,0.81782390546221
"100","S4",TRUE,TRUE,96,"E590_zeroed_2",475670.8,"96 h","XS4","XS4 (0.861)","X4",589783.2,0.806518056126387
"101","S5",TRUE,TRUE,96,"E590_zeroed_2",415716.8,"96 h","XS5","XS5 (1.000)","X5",589783.2,0.70486375332495
"102","Mock",TRUE,TRUE,96,"E590_zeroed_2",614224.8,"96 h","Mock","Mock","Ctrl",589783.2,1.04144166873522
"103","S1",TRUE,TRUE,96,"E590_zeroed_3",530796.8,"96 h","XS1","XS1 (0.588)","X1",589783.2,0.899986300050595
"104","S2",TRUE,TRUE,96,"E590_zeroed_3",498698.8,"96 h","XS2","XS2 (0.705)","X2",589783.2,0.845562911931028
"105","S3",TRUE,TRUE,96,"E590_zeroed_3",510857.8,"96 h","XS3","XS3 (0.774)","X3",589783.2,0.86617896203215
"106","S4",TRUE,TRUE,96,"E590_zeroed_3",481257.8,"96 h","XS4","XS4 (0.861)","X4",589783.2,0.815991028567785
"107","S5",TRUE,TRUE,96,"E590_zeroed_3",407138.8,"96 h","XS5","XS5 (1.000)","X5",589783.2,0.690319425850041
"108","Mock",TRUE,TRUE,96,"E590_zeroed_3",557435.8,"96 h","Mock","Mock","Ctrl",589783.2,0.94515374463023
"109","S1",TRUE,TRUE,96,"E590_zeroed_4",478872.8,"96 h","XS1","XS1 (0.588)","X1",589783.2,0.81194716973966
"110","S2",TRUE,TRUE,96,"E590_zeroed_4",510632.8,"96 h","XS2","XS2 (0.705)","X2",589783.2,0.865797465916289
"111","S3",TRUE,TRUE,96,"E590_zeroed_4",500051.8,"96 h","XS3","XS3 (0.774)","X3",589783.2,0.847856975241072
"112","S4",TRUE,TRUE,96,"E590_zeroed_4",480772.8,"96 h","XS4","XS4 (0.861)","X4",589783.2,0.815168692495819
"113","S5",TRUE,TRUE,96,"E590_zeroed_4",440623.8,"96 h","XS5","XS5 (1.000)","X5",589783.2,0.747094525581603
"114","Mock",TRUE,TRUE,96,"E590_zeroed_4",566633.8,"96 h","Mock","Mock","Ctrl",589783.2,0.960749305846623
"115","S1",TRUE,TRUE,96,"E590_zeroed_5",496830.8,"96 h","XS1","XS1 (0.588)","X1",589783.2,0.842395646400236
"116","S2",TRUE,TRUE,96,"E590_zeroed_5",503126.8,"96 h","XS2","XS2 (0.705)","X2",589783.2,0.85307075549117
"117","S3",TRUE,TRUE,96,"E590_zeroed_5",483229.8,"96 h","XS3","XS3 (0.774)","X3",589783.2,0.819334630081019
"118","S4",TRUE,TRUE,96,"E590_zeroed_5",461313.8,"96 h","XS4","XS4 (0.861)","X4",589783.2,0.782175212857877
"119","S5",TRUE,TRUE,96,"E590_zeroed_5",429508.8,"96 h","XS5","XS5 (1.000)","X5",589783.2,0.728248617458076
"120","Mock",TRUE,TRUE,96,"E590_zeroed_5",605383.8,"96 h","Mock","Mock","Ctrl",589783.2,1.02645141468933
"121","S1",TRUE,TRUE,120,"E590_zeroed_1",547606.8,"120 h","XS1","XS1 (0.588)","X1",585343.8,0.935530196100138
